Benešov,cz
Beroun,cz
Blansko,cz
Brno-město,cz
Brno-venkov,cz
Bruntál,cz
Břeclav,cz
Česká Lípa,cz
České Budějovice,cz
Český Krumlov,cz
Děčín,cz
Domažlice,cz
Frýdek-Místek,cz
Havlíčkův Brod,cz
Hodonín,cz
Hradec Králové,cz
Cheb,cz
Chomutov,cz
Chrudim,cz
Jablonec nad Nisou,cz
Jeseník,cz
Jičín,cz
Jihlava,cz
Jindřichův Hradec,cz
Karlovy Vary,cz
Karviná,cz
Kladno,cz
Klatovy,cz
Kolín,cz
Kroměříž,cz
Kutná Hora,cz
Liberec,cz
Litoměřice,cz
Louny,cz
Mělník,cz
Mladá Boleslav,cz
Most,cz
Náchod,cz
Nový Jičín,cz
Nymburk,cz
Olomouc,cz
Opava,cz
Ostrava-město,cz
Pardubice,cz
Pelhřimov,cz
Písek,cz
Plzeň-jih,cz
Plzeň-město,cz
Plzeň-sever,cz
Praha,cz
Praha-východ,cz
Praha-západ,cz
Prachatice,cz
Prostějov,cz
Přerov,cz
Příbram,cz
Rakovník,cz
Rokycany,cz
Rychnov nad Kněžnou,cz
Semily,cz
Sokolov,cz
Strakonice,cz
Svitavy,cz
Šumperk,cz
Tábor,cz
Tachov,cz
Teplice,cz
Trutnov,cz
Třebíč,cz
Uherské Hradiště,cz
Ústí nad Labem,cz
Ústí nad Orlicí,cz
Vsetín,cz
Vyškov,cz
Zlín,cz
Znojmo,cz
"Žďár nad Sázavou 
",cz
Budapest,hu
Pest ,hu
Fejér,hu
Komárom-Esztergom,hu
Veszprém,hu
Győr-Moson-Sopron,hu
Vas,hu
Zala,hu
Baranya,hu
Somogy,hu
Tolna ,hu
Borsod-Abaúj-Zemplén,hu
Heves,hu
Nógrád ,hu
Hajdú-Bihar,hu
Jász-Nagykun-Szolnok,hu
Szabolcs-Szatmár-Bereg,hu
Bács-Kiskun ,hu
Békés,hu
Csongrád,hu
